ID_PROTOCOLO,CODIGOINVIMA,VERSION,FECHA_PROTOCOLO,FECHA_PREVISTA_TERMINACION,TITULO_CIENTIFICO_PROTOCOLO,TITULO_PUBLICO_PROTOCOLO,NRO_INVESTIGACION_PRIMARIA,FECHA_REGISTRO_OFICIAL_PRIMARIA,NRO_IDENTIFICACION_SECUNDARIA,FECHA_REGISTRO_OFICIAL_SECUNDARIO,PATROCINADOR,CRO,PAIS_DESARROLLA_ACTIVIDAD,FUENTE_FINANCIACION,ESPECIALIDAD_PROTOCOLO,TIPO_INVESTIGACION,CODIGOASIGNADOPATROCINADOR,MOLECULA_ESTUDIO,ORIGEN,ESTADO,ID_MEDICAMENTO,ID_DISPOSITIVOS
2559,PI HGS 824,239,2019-10-21,2020-12-30,Titulo 513,Titulo 513,34664,2019-10-21,23596,2019-10-21,HUMAN GENOME SCIENCES INC QUINTILES COLOMBIA LTDA,CRO2559,COLOMBIA,Fuente 2559,Especialidda 2559,Tipo 2559,HGS1006 C1112,Molecula 2559,Origen 2559,APROBADO,1402,
2560,PI LBI 1121,236,2015-08-17,2021-03-01,Titulo y,Titulo y,234466,2015-08-17,12605,2015-08-17,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2560,COLOMBIA,Fuente 2560,Especialidda 2560,Tipo 2560,1245 110,Molecula 2560,Origen 2560,APROBADO,1401,
2561,PI LBI 1121,234,2016-01-15,2020-12-30,Titulo x,Titulo x,657799,2016-01-15,1233708,2016-01-15,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2561,COLOMBIA,Fuente 2561,Especialidda 2561,Tipo 2561,1245 110,Molecula 2561,Origen 2561,APROBADO,1400,
2562,PI LBI 1121,239,2017-10-01,2020-12-30,Titulo x513,Titulo x513,324466,2017-10-01,436740,2017-10-01,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2562,COLOMBIA,Fuente 2562,Especialidda 2562,Tipo 2562,1245 110,Molecula 2562,Origen 2562,APROBADO,1399,
2563,PI LBI 1121,241,2020-01-30,2021-02-01,Titulo 513,Titulo 513,2574,2020-01-30,689273,2020-01-30,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2563,COLOMBIA,Fuente 2563,Especialidda 2563,Tipo 2563,1245 110,Molecula 2563,Origen 2563,EN CURSO,1398,
2564,PI LBI 1121,234,2020-02-16,2021-02-01,Titulo 514,Titulo 514,445,2020-02-16,8374,2020-02-16,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2564,COLOMBIA,Fuente 2564,Especialidda 2564,Tipo 2564,1245 110,Molecula 2564,Origen 2564,EN CURSO,1397,
2565,PI LBI 1121,235,2020-09-01,2021-03-02,Titulo y,Titulo y,253687,2020-09-01,23708,2020-09-01,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2565,COLOMBIA,Fuente 2565,Especialidda 2565,Tipo 2565,1245 110,Molecula 2565,Origen 2565,EN CURSO,1396,
2566,PI LBI 1121,237,2019-10-22,2020-12-31,Titulo x,Titulo x,578989,2019-10-22,21597,2019-10-22,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2566,COLOMBIA,Fuente 2566,Especialidda 2566,Tipo 2566,1245 110,Molecula 2566,Origen 2566,RECHAZADO,1395,
2567,PI LBI 1121,239,2015-08-18,2021-03-02,Titulo x514,Titulo x514,2575,2015-08-18,24809,2015-08-18,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2567,COLOMBIA,Fuente 2567,Especialidda 2567,Tipo 2567,1245 110,Molecula 2567,Origen 2567,APROBADO,1394,
2568,PI LBI 1121,242,2016-01-16,2020-12-31,Titulo 514,Titulo 514,45878,2016-01-16,23597,2016-01-16,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2568,COLOMBIA,Fuente 2568,Especialidda 2568,Tipo 2568,1245 110,Molecula 2568,Origen 2568,EN CURSO,1393,
2569,PI LBI 1121,243,2017-10-02,2020-12-31,Titulo 515,Titulo 515,689930,2017-10-02,12606,2017-10-02,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2569,COLOMBIA,Fuente 2569,Especialidda 2569,Tipo 2569,1245 110,Molecula 2569,Origen 2569,APROBADO,1392,
2570,PI LBI 1121,240,2020-01-31,2021-02-02,Titulo y,Titulo y,34665,2020-01-31,1233709,2020-01-31,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2570,COLOMBIA,Fuente 2570,Especialidda 2570,Tipo 2570,1245 110,Molecula 2570,Origen 2570,APROBADO,1391,
2571,PI MS 1074,237,2020-02-17,2021-02-02,Titulo x,Titulo x,234467,2020-02-17,436741,2020-02-17,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2571,COLOMBIA,Fuente 2571,Especialidda 2571,Tipo 2571,MK8521 004,Molecula 2571,Origen 2571,APROBADO,1390,
2572,PI KC 446,235,2020-09-02,2021-03-03,Titulo x515,Titulo x515,657800,2020-09-02,689274,2020-09-02,ACTELION PHARMACEUTICAL INC RESEARCH COLOMBIA LTDA,CRO2572,COLOMBIA,Fuente 2572,Especialidda 2572,Tipo 2572,AC 065A303,Molecula 2572,Origen 2572,APROBADO,1389,
2573,PI SA 950,240,2019-10-23,2021-01-01,Titulo 515,Titulo 515,324467,2019-10-23,8375,2019-10-23,SANOFI AVENTIS DE COLOMBIA,CRO2573,COLOMBIA,Fuente 2573,Especialidda 2573,Tipo 2573,EFC13799 SENIOR,Molecula 2573,Origen 2573,APROBADO,1388,
2574,PI MS 583,242,2015-08-19,2021-03-03,Titulo 516,Titulo 516,2575,2015-08-19,23709,2015-08-19,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2574,COLOMBIA,Fuente 2574,Especialidda 2574,Tipo 2574,MK0431 083,Molecula 2574,Origen 2574,APROBADO,1387,
2575,PI NO 318,235,2016-01-17,2021-01-01,Titulo y,Titulo y,446,2016-01-17,21598,2016-01-17,NOVARTIS DE COLOMBIA S A,CRO2575,COLOMBIA,Fuente 2575,Especialidda 2575,Tipo 2575,CRAD0011N2301,Molecula 2575,Origen 2575,EN CURSO,1386,
2576,PI MS 582,236,2017-10-03,2021-01-01,Titulo x,Titulo x,253688,2017-10-03,24810,2017-10-03,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2576,COLOMBIA,Fuente 2576,Especialidda 2576,Tipo 2576,MK0431A 170 03,Molecula 2576,Origen 2576,EN CURSO,1385,
2577,PI NO 79,238,2020-02-01,2021-02-03,Titulo x516,Titulo x516,578990,2020-02-01,23598,2020-02-01,NOVARTIS DE COLOMBIA S A,CRO2577,COLOMBIA,Fuente 2577,Especialidda 2577,Tipo 2577,CAMN107A2303,Molecula 2577,Origen 2577,EN CURSO,1384,
2578,PI NO 436,240,2020-02-18,2021-02-03,Titulo 516,Titulo 516,2576,2020-02-18,12607,2020-02-18,NOVARTIS DE COLOMBIA S A,CRO2578,COLOMBIA,Fuente 2578,Especialidda 2578,Tipo 2578,CSOM230C2402,Molecula 2578,Origen 2578,RECHAZADO,1383,
2579,PI NO 1140,243,2020-09-03,2021-03-04,Titulo 517,Titulo 517,45879,2020-09-03,1233710,2020-09-03,NOVARTIS DE COLOMBIA S A,CRO2579,COLOMBIA,Fuente 2579,Especialidda 2579,Tipo 2579,CRAD001M2X02B,Molecula 2579,Origen 2579,APROBADO,1382,
2580,PI HGS 726,244,2019-10-24,2021-01-02,Titulo y,Titulo y,689931,2019-10-24,436742,2019-10-24,HUMAN GENOME SCIENCES INC PAREXEL INTERNACIONAL COLOMBIA S A S,CRO2580,COLOMBIA,Fuente 2580,Especialidda 2580,Tipo 2580,HGS1006 C1121,Molecula 2580,Origen 2580,EN CURSO,1381,
2581,PI ET 1127,241,2015-08-20,2021-03-04,Titulo x,Titulo x,34666,2015-08-20,689275,2015-08-20,ESPERION THERAPEUTICS INC QUINTILES COLOMBIA LTDA,CRO2581,COLOMBIA,Fuente 2581,Especialidda 2581,Tipo 2581,1002 043,Molecula 2581,Origen 2581,APROBADO,1380,
2582,PI NO 960,238,2016-01-18,2021-01-02,Titulo x517,Titulo x517,234468,2016-01-18,8376,2016-01-18,NOVARTIS DE COLOMBIA S A,CRO2582,COLOMBIA,Fuente 2582,Especialidda 2582,Tipo 2582,CSOM230C2413,Molecula 2582,Origen 2582,APROBADO,1379,
2583,PI NO 1020,236,2017-10-04,2021-01-02,Titulo 517,Titulo 517,657801,2017-10-04,23710,2017-10-04,NOVARTIS DE COLOMBIA S A,CRO2583,COLOMBIA,Fuente 2583,Especialidda 2583,Tipo 2583,CLDK378A2112,Molecula 2583,Origen 2583,APROBADO,1378,
2584,PI GS 908,241,2020-02-02,2021-02-04,Titulo 518,Titulo 518,324468,2020-02-02,21599,2020-02-02,GLAXOSMITHKLINE COLOMBIA S A PPD COLOMBIA,CRO2584,COLOMBIA,Fuente 2584,Especialidda 2584,Tipo 2584,CTT116855,Molecula 2584,Origen 2584,APROBADO,1377,
2585,PI MEI 939,243,2020-02-19,2021-02-04,Titulo y,Titulo y,2576,2020-02-19,24811,2020-02-19,MEDIMMUNE LLC MIEMBRO DE COMPAÑÌAS ASTRAZENECA PPD COLOMBIA S A S,CRO2585,COLOMBIA,Fuente 2585,Especialidda 2585,Tipo 2585,CD IA MEDI 551 1155,Molecula 2585,Origen 2585,APROBADO,1376,
2586,PI RPH 1125,236,2020-09-04,2021-03-05,Titulo x,Titulo x,447,2020-09-04,23599,2020-09-04,REGENERON PHARMACEUTICALS INC ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL LIMITED SUCURSAL COLOMBIA,CRO2586,COLOMBIA,Fuente 2586,Especialidda 2586,Tipo 2586,R727 CL 1532,Molecula 2586,Origen 2586,APROBADO,1375,
2587,PI BH 1012,237,2019-10-25,2021-01-03,Titulo x518,Titulo x518,253689,2019-10-25,12608,2019-10-25,BAYER S A BAY 94,CRO2587,COLOMBIA,Fuente 2587,Especialidda 2587,Tipo 2587,BAY 94 8862 17530,Molecula 2587,Origen 2587,EN CURSO,1374,
2588,PI UCB 1093,239,2015-08-21,2021-03-05,Titulo 518,Titulo 518,578991,2015-08-21,1233711,2015-08-21,UCB BIOPHARMA SPRL INC RESEARCH COLOMBIA LTDA,CRO2588,COLOMBIA,Fuente 2588,Especialidda 2588,Tipo 2588,SL0023,Molecula 2588,Origen 2588,EN CURSO,1373,
2589,PI MS 961,241,2016-01-19,2021-01-03,Titulo 519,Titulo 519,2577,2016-01-19,436743,2016-01-19,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2589,COLOMBIA,Fuente 2589,Especialidda 2589,Tipo 2589,MK3475 048,Molecula 2589,Origen 2589,EN CURSO,1372,
2590,PI SHI 1080,244,2017-10-05,2021-01-03,Titulo y,Titulo y,45880,2017-10-05,689276,2017-10-05,SHIONOGI INC RPS COLOMBIA LTDA PARA HEALTH SCIENCES,CRO2590,COLOMBIA,Fuente 2590,Especialidda 2590,Tipo 2590,1424R2131,Molecula 2590,Origen 2590,RECHAZADO,1371,
2591,PI ABS 1049,245,2020-02-03,2021-02-05,Titulo x,Titulo x,689932,2020-02-03,8377,2020-02-03,ABBVIE SAS,CRO2591,COLOMBIA,Fuente 2591,Especialidda 2591,Tipo 2591,M13 545,Molecula 2591,Origen 2591,APROBADO,1370,
2592,PI ABS 1049,242,2020-02-20,2021-02-05,Titulo x519,Titulo x519,34667,2020-02-20,23711,2020-02-20,ABBVIE SAS,CRO2592,COLOMBIA,Fuente 2592,Especialidda 2592,Tipo 2592,M13 545,Molecula 2592,Origen 2592,EN CURSO,1369,
2593,PI MS 1083,239,2020-09-05,2021-03-06,Titulo 519,Titulo 519,234469,2020-09-05,21600,2020-09-05,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2593,COLOMBIA,Fuente 2593,Especialidda 2593,Tipo 2593,MK3475 355,Molecula 2593,Origen 2593,APROBADO,1368,
2594,PI MS 1083,237,2019-10-26,2021-01-04,Titulo 520,Titulo 520,657802,2019-10-26,24812,2019-10-26,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2594,COLOMBIA,Fuente 2594,Especialidda 2594,Tipo 2594,MK3475 355,Molecula 2594,Origen 2594,APROBADO,1367,
2595,PI MS 1083,242,2015-08-22,2021-03-06,Titulo y,Titulo y,324469,2015-08-22,23600,2015-08-22,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2595,COLOMBIA,Fuente 2595,Especialidda 2595,Tipo 2595,MK3475 355,Molecula 2595,Origen 2595,APROBADO,1366,
2596,PI MS 1083,244,2016-01-20,2021-01-04,Titulo x,Titulo x,2577,2016-01-20,12609,2016-01-20,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2596,COLOMBIA,Fuente 2596,Especialidda 2596,Tipo 2596,MK3475 355,Molecula 2596,Origen 2596,APROBADO,1365,
2597,PI BH 837,237,2017-10-06,2021-01-04,Titulo x520,Titulo x520,448,2017-10-06,1233712,2017-10-06,BAYER S A INSTITUTO NACIONAL DE CANCEROLOGIA E S E,CRO2597,COLOMBIA,Fuente 2597,Especialidda 2597,Tipo 2597,C41030610 258,Molecula 2597,Origen 2597,APROBADO,1364,
2598,PI AZ 1129,238,2020-02-04,2021-02-06,Titulo 520,Titulo 520,253690,2020-02-04,436744,2020-02-04,ASTRAZENECA AB RPS COLOMBIA LTDA COMPAÑÍA DEL GRUPO,CRO2598,COLOMBIA,Fuente 2598,Especialidda 2598,Tipo 2598,D3461C00009,Molecula 2598,Origen 2598,APROBADO,1363,
2599,PI AZ 1129,240,2020-02-21,2021-02-06,Titulo 521,Titulo 521,578992,2020-02-21,689277,2020-02-21,ASTRAZENECA AB RPS COLOMBIA LTDA COMPAÑÍA DEL GRUPO,CRO2599,COLOMBIA,Fuente 2599,Especialidda 2599,Tipo 2599,D3461C00009,Molecula 2599,Origen 2599,EN CURSO,1362,
2600,PI MS 1082,242,2020-09-06,2021-03-07,Titulo y,Titulo y,2578,2020-09-06,8378,2020-09-06,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2600,COLOMBIA,Fuente 2600,Especialidda 2600,Tipo 2600,MK1242 001,Molecula 2600,Origen 2600,EN CURSO,1361,
2601,PI MS 1082,245,2019-10-27,2021-01-05,Titulo x,Titulo x,45881,2019-10-27,23712,2019-10-27,MERCK SHARP Y DOHME COLOMBIA SAS,CRO2601,COLOMBIA,Fuente 2601,Especialidda 2601,Tipo 2601,MK1242 001,Molecula 2601,Origen 2601,EN CURSO,1360,
2602,PI MS 1131,246,2015-08-23,2021-03-07,Titulo x521,Titulo x521,689933,2015-08-23,21601,2015-08-23,MERCK SHARP Y DOHME COLOMBIA S A,CRO2602,COLOMBIA,Fuente 2602,Especialidda 2602,Tipo 2602,MK3475 522,Molecula 2602,Origen 2602,RECHAZADO,1359,
2603,PI GF 1078,243,2016-01-21,2021-01-05,Titulo 521,Titulo 521,34668,2016-01-21,24813,2016-01-21,GENFIT COVANCE COLOMBIA SERVICES LTDA,CRO2603,COLOMBIA,Fuente 2603,Especialidda 2603,Tipo 2603,GFT505 315 1,Molecula 2603,Origen 2603,APROBADO,1358,
2604,PI MS 1082,240,2017-10-07,2021-01-05,Titulo 522,Titulo 522,234470,2017-10-07,23601,2017-10-07,MERCK SHARP Y DOHME COLOMBIA S A,CRO2604,COLOMBIA,Fuente 2604,Especialidda 2604,Tipo 2604,MK1242 001,Molecula 2604,Origen 2604,EN CURSO,1357,
2605,PI LBI 1121,238,2020-02-05,2021-02-07,Titulo y,Titulo y,657803,2020-02-05,12610,2020-02-05,BOEHRINGER IGELHEIM QUINTILES COLOMBIA LTDA,CRO2605,COLOMBIA,Fuente 2605,Especialidda 2605,Tipo 2605,1245 110,Molecula 2605,Origen 2605,APROBADO,1356,
2606,PI FH 1128,243,2020-02-22,2021-02-07,Titulo x,Titulo x,324470,2020-02-22,1233713,2020-02-22,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2606,COLOMBIA,Fuente 2606,Especialidda 2606,Tipo 2606,BP39261,Molecula 2606,Origen 2606,APROBADO,1355,
2607,PI AZ 907,245,2020-09-07,2021-03-08,Titulo x522,Titulo x522,2578,2020-09-07,436745,2020-09-07,ASTRAZENECA COLOMBIA S A,CRO2607,COLOMBIA,Fuente 2607,Especialidda 2607,Tipo 2607,D513BC00001,Molecula 2607,Origen 2607,APROBADO,1354,
2608,PI LBI 1121,238,2019-10-28,2021-01-06,Titulo 522,Titulo 522,449,2019-10-28,689278,2019-10-28,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2608,COLOMBIA,Fuente 2608,Especialidda 2608,Tipo 2608,1245 110,Molecula 2608,Origen 2608,APROBADO,1353,
2609,PI LBI 1121,239,2015-08-24,2021-03-08,Titulo 523,Titulo 523,253691,2015-08-24,8379,2015-08-24,BOEHRINGER INGELHEIM QUINTILES COLOMBIA LTDA,CRO2609,COLOMBIA,Fuente 2609,Especialidda 2609,Tipo 2609,1245 110,Molecula 2609,Origen 2609,APROBADO,1352,
2610,PI AZ 1129,241,2016-01-22,2021-01-06,Titulo y,Titulo y,578993,2016-01-22,23713,2016-01-22,ASTRAZENECA AB RPS COLOMBIA LTDA COMPAÑÍA DEL GRUPO PRA HEALTH SCIENCES,CRO2610,COLOMBIA,Fuente 2610,Especialidda 2610,Tipo 2610,D3461C00009,Molecula 2610,Origen 2610,APROBADO,1351,
2611,PI AZ 1129,243,2017-10-08,2021-01-06,Titulo x,Titulo x,2579,2017-10-08,21602,2017-10-08,ASTRAZENECA AB RPS COLOMBIA LTDA COMPAÑÍA DEL GRUPO PRA HEALTH SCIENCES,CRO2611,COLOMBIA,Fuente 2611,Especialidda 2611,Tipo 2611,D3461C00009,Molecula 2611,Origen 2611,EN CURSO,1350,
2612,PI FH 1128,246,2020-02-06,2021-02-08,Titulo x523,Titulo x523,45882,2020-02-06,24814,2020-02-06,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2612,COLOMBIA,Fuente 2612,Especialidda 2612,Tipo 2612,BP39261,Molecula 2612,Origen 2612,EN CURSO,1349,
2613,PI FH 1128,247,2020-02-23,2021-02-08,Titulo 523,Titulo 523,689934,2020-02-23,23602,2020-02-23,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2613,COLOMBIA,Fuente 2613,Especialidda 2613,Tipo 2613,BP39261,Molecula 2613,Origen 2613,EN CURSO,1348,
2614,PI FH 1128,244,2020-09-08,2021-03-09,Titulo 524,Titulo 524,34669,2020-09-08,12611,2020-09-08,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2614,COLOMBIA,Fuente 2614,Especialidda 2614,Tipo 2614,BP39261,Molecula 2614,Origen 2614,RECHAZADO,1347,
2615,PI FH 1128,241,2019-10-29,2021-01-07,Titulo y,Titulo y,234471,2019-10-29,1233714,2019-10-29,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2615,COLOMBIA,Fuente 2615,Especialidda 2615,Tipo 2615,BP39261,Molecula 2615,Origen 2615,APROBADO,1346,
2616,PI FH 1128,239,2015-08-25,2021-03-09,Titulo x,Titulo x,657804,2015-08-25,436746,2015-08-25,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2616,COLOMBIA,Fuente 2616,Especialidda 2616,Tipo 2616,BP39261,Molecula 2616,Origen 2616,EN CURSO,1345,
2617,PI FH 1128,244,2016-01-23,2021-01-07,Titulo x524,Titulo x524,324471,2016-01-23,689279,2016-01-23,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2617,COLOMBIA,Fuente 2617,Especialidda 2617,Tipo 2617,BP39261,Molecula 2617,Origen 2617,APROBADO,1344,
2618,PI FH 1128,246,2017-10-09,2021-01-07,Titulo 524,Titulo 524,2579,2017-10-09,8380,2017-10-09,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2618,COLOMBIA,Fuente 2618,Especialidda 2618,Tipo 2618,BP39261,Molecula 2618,Origen 2618,APROBADO,1343,
2619,PI FH 1128,239,2020-02-07,2021-02-09,Titulo 525,Titulo 525,450,2020-02-07,23714,2020-02-07,F HOFFMANN LA ROCHE LTD COVANCE COLOMBIA SERVICES LTDA,CRO2619,COLOMBIA,Fuente 2619,Especialidda 2619,Tipo 2619,BP39261,Molecula 2619,Origen 2619,APROBADO,1342,
2620,PI AZ 1129,240,2020-02-24,2021-02-09,Titulo y,Titulo y,253692,2020-02-24,21603,2020-02-24,ASTRAZENECA AB RPS COLOMBIA LTDA COMPAÑÍA DEL GRUPO PRA HEALTH SCIENCES,CRO2620,COLOMBIA,Fuente 2620,Especialidda 2620,Tipo 2620,D3461C00009,Molecula 2620,Origen 2620,APROBADO,1341,
2621,PI BH 1010,242,2020-09-09,2021-03-10,Titulo x,Titulo x,578994,2020-09-09,24815,2020-09-09,BAYER S A,CRO2621,COLOMBIA,Fuente 2621,Especialidda 2621,Tipo 2621,BAY 94 8862 16244,Molecula 2621,Origen 2621,APROBADO,1340,
2622,PI BH 1010,244,2019-10-30,2021-01-08,Titulo x525,Titulo x525,2580,2019-10-30,23603,2019-10-30,BAYER S A,CRO2622,COLOMBIA,Fuente 2622,Especialidda 2622,Tipo 2622,BAY 94 8862 16244,Molecula 2622,Origen 2622,APROBADO,1339,
2623,PI BH 1010,247,2015-08-26,2021-03-10,Titulo 525,Titulo 525,45883,2015-08-26,12612,2015-08-26,BAYER S A,CRO2623,COLOMBIA,Fuente 2623,Especialidda 2623,Tipo 2623,BAY 94 8862 16244,Molecula 2623,Origen 2623,EN CURSO,1338,
2624,PI UK 1086,248,2016-01-24,2021-01-08,Titulo 526,Titulo 526,689935,2016-01-24,1233715,2016-01-24,SEQIRUS UK LIMITED PAREXEL INTERNACIONAL COLOMBIA S A S,CRO2624,COLOMBIA,Fuente 2624,Especialidda 2624,Tipo 2624,V118 18,Molecula 2624,Origen 2624,EN CURSO,1337,
2625,PI AG 905,245,2017-10-10,2021-01-08,Titulo y,Titulo y,34670,2017-10-10,436747,2017-10-10,AMGEN INC QUINTILES COLOMBIA LTDA,CRO2625,COLOMBIA,Fuente 2625,Especialidda 2625,Tipo 2625,20101217,Molecula 2625,Origen 2625,EN CURSO,1336,
2626,PI BM 831,242,2020-02-08,2021-02-10,Titulo x,Titulo x,234472,2020-02-08,689280,2020-02-08,BRISTOL MYERS SQUIBB COMPANY REPRESENTADO EN COLOMBIA POR BRISTOL MYERS SQUIBB DE COLOMBIA S A ICON HOLDINGS CLINICLAL RESEARCH INTERNATIONAL LIMITED SUCURSAL COLOMBIA,CRO2626,COLOMBIA,Fuente 2626,Especialidda 2626,Tipo 2626,IMI103116,Molecula 2626,Origen 2626,RECHAZADO,1335,
2627,PI GF 1078,240,2020-02-25,2021-02-10,Titulo x526,Titulo x526,657805,2020-02-25,8381,2020-02-25,GENFIT COVANCE COLOMBIA SERVICES LTDA,CRO2627,COLOMBIA,Fuente 2627,Especialidda 2627,Tipo 2627,GFT505 315 1,Molecula 2627,Origen 2627,APROBADO,1334,
2628,PI RO 664,245,2020-09-10,2021-03-11,Titulo 526,Titulo 526,324472,2020-09-10,23715,2020-09-10,F HOFFMANN LA ROCHE LTD PRODUCTOS ROCHE S A,CRO2628,COLOMBIA,Fuente 2628,Especialidda 2628,Tipo 2628,MO25455,Molecula 2628,Origen 2628,EN CURSO,1333,
2629,PI NO 670,247,2019-10-31,2021-01-09,Titulo 527,Titulo 527,2580,2019-10-31,21604,2019-10-31,NOVARTIS DE COLOMBIA S A,CRO2629,COLOMBIA,Fuente 2629,Especialidda 2629,Tipo 2629,CLAF237A23156,Molecula 2629,Origen 2629,APROBADO,1332,
2630,PI JC 716,240,2015-08-27,2021-03-11,Titulo y,Titulo y,451,2015-08-27,24816,2015-08-27,JANSSEN RESEARCH Y DEVELOPMENT,CRO2630,COLOMBIA,Fuente 2630,Especialidda 2630,Tipo 2630,PCI32765CLL3001,Molecula 2630,Origen 2630,APROBADO,1331,
2631,PI JC 722,241,2016-01-25,2021-01-09,Titulo x,Titulo x,253693,2016-01-25,23604,2016-01-25,JANSSEN RESEARCH Y DEVELOPMENT,CRO2631,COLOMBIA,Fuente 2631,Especialidda 2631,Tipo 2631,212082PCR3011,Molecula 2631,Origen 2631,APROBADO,1330,
2632,PI RO 789,243,2017-10-11,2021-01-09,Titulo x527,Titulo x527,578995,2017-10-11,12613,2017-10-11,F HOFFMANN LA ROCHE LTD PRODUCTOS ROCHE S A,CRO2632,COLOMBIA,Fuente 2632,Especialidda 2632,Tipo 2632,BO27938,Molecula 2632,Origen 2632,APROBADO,1329,
2633,PI RO 790,245,2020-02-09,2021-02-11,Titulo 527,Titulo 527,2581,2020-02-09,1233716,2020-02-09,F HOFFMANN LA ROCHE LTD PRODUCTOS ROCHE S A,CRO2633,COLOMBIA,Fuente 2633,Especialidda 2633,Tipo 2633,BO21005,Molecula 2633,Origen 2633,APROBADO,1328,
2634,PI UB 881,248,2020-02-26,2021-02-11,Titulo 528,Titulo 528,45884,2020-02-26,436748,2020-02-26,UCB PHARMA S A PHARMACEUTICAL RESEARCH ASSOCIATES COLOMBIA S A S,CRO2634,COLOMBIA,Fuente 2634,Especialidda 2634,Tipo 2634,SP0969,Molecula 2634,Origen 2634,APROBADO,1327,
2635,PI BM 943,249,2020-09-11,2021-03-12,Titulo y,Titulo y,689936,2020-09-11,689281,2020-09-11,BRISTOL MYERS SQUIBB DE COLOMBIA S A,CRO2635,COLOMBIA,Fuente 2635,Especialidda 2635,Tipo 2635,IM128 027,Molecula 2635,Origen 2635,EN CURSO,1326,
2636,PI MS 961,246,2019-11-01,2021-01-10,Titulo x,Titulo x,34671,2019-11-01,8382,2019-11-01,MERCK SHARP Y DOHME COLOMBIA S A S,CRO2636,COLOMBIA,Fuente 2636,Especialidda 2636,Tipo 2636,MK3475 048,Molecula 2636,Origen 2636,EN CURSO,1325,
2637,PI RO 986,243,2015-08-28,2021-03-12,Titulo x528,Titulo x528,234473,2015-08-28,23716,2015-08-28,PRODUCTOS ROCHE S A,CRO2637,COLOMBIA,Fuente 2637,Especialidda 2637,Tipo 2637,GO29058,Molecula 2637,Origen 2637,EN CURSO,1324,
2638,PI RO 1031,241,2016-01-26,2021-01-10,Titulo 528,Titulo 528,657806,2016-01-26,21605,2016-01-26,PRODUCTOS ROCHE S A,CRO2638,COLOMBIA,Fuente 2638,Especialidda 2638,Tipo 2638,WA29748,Molecula 2638,Origen 2638,RECHAZADO,1323,
2639,PI GIS 1032,246,2017-10-12,2021-01-10,Titulo 529,Titulo 529,324473,2017-10-12,24817,2017-10-12,GILEAD SCIENCES INC ICON CLINICAL RESEARCH REPRESENTADO EN COLOMBIA POR ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL SUCURSAL COLOMBIA,CRO2639,COLOMBIA,Fuente 2639,Especialidda 2639,Tipo 2639,GS US 296 1080,Molecula 2639,Origen 2639,APROBADO,1322,
2640,PI BH 1034,248,2020-02-10,2021-02-12,Titulo y,Titulo y,2581,2020-02-10,23605,2020-02-10,BAYER S A ICON HOLDINGS CLINICAL RESEARCH INTERNATIONAL LIMITED SUCURSAL COLOMBIA,CRO2640,COLOMBIA,Fuente 2640,Especialidda 2640,Tipo 2640,17712,Molecula 2640,Origen 2640,EN CURSO,1321,
2641,PI NO 1042,241,2020-02-27,2021-02-12,Titulo x,Titulo x,452,2020-02-27,12614,2020-02-27,NOVARTIS DE COLOMBIA S A,CRO2641,COLOMBIA,Fuente 2641,Especialidda 2641,Tipo 2641,CRFB002H2301,Molecula 2641,Origen 2641,APROBADO,1320,
